status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
>= 2900 € / Gehalt seit 1 Jahr,6,existing credits paid back duly till now,car (new),3625.059437681189,>= 5000 €,... < 1 year,2,male : married/widowed,none,2,real estate,27,none,own,1,unemployed/unskilled - non-resident,1,no,no,1
580 € - 2900 €,36,existing credits paid back duly till now,domestic appliances,24516.445703358677,< 580 €,... < 1 year,4,female : divorced/separated/married,none,1,unknown/no property,30,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
< 580 €,27,existing credits paid back duly till now,domestic appliances,17465.730661662823,< 580 €,1 <= ... < 4 years,3,male : single,none,2,car or other,27,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,1
< 580 €,18,existing credits paid back duly till now,radio/television,12588.006115050901,< 580 €,1 <= ... < 4 years,2,male : single,none,2,car or other,22,none,own,1,skilled employee/official,1,no,yes,0
kein Konto,21,critical account/other credits existing,radio/television,11698.358241769478,< 580 €,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,23,none,own,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,48,all credits at this bank paid back duly,others,18232.66848345715,580 € - 2900 €,4 <= ... < 7 years,4,male : single,none,2,car or other,30,none,own,1,skilled employee/official,1,no,yes,1
< 580 €,6,critical account/other credits existing,car (new),4397.110178287479,< 580 €,... >= 7 years,1,female : divorced/separated/married,none,4,unknown/no property,39,none,own,2,skilled employee/official,1,yes,yes,1
kein Konto,12,critical account/other credits existing,car (new),3487.01062975821,580 € - 2900 €,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,car or other,51,none,own,2,skilled employee/official,1,yes,yes,1
< 580 €,36,critical account/other credits existing,radio/television,27461.486939048897,< 580 €,1 <= ... < 4 years,3,male : single,guarantor,2,building society savings agreement/life insurance,28,none,own,2,skilled employee/official,1,no,yes,1
kein Konto,18,critical account/other credits existing,domestic appliances,8088.6375605241765,>= 5000 €,... >= 7 years,4,male : single,none,4,car or other,46,none,own,2,skilled employee/official,1,no,yes,1
kein Konto,6,existing credits paid back duly till now,domestic appliances,6881.9887209011,580 € - 2900 €,... >= 7 years,2,male : single,none,4,unknown/no property,42,bank,for free,1,skilled employee/official,2,yes,yes,1
kein Konto,10,existing credits paid back duly till now,domestic appliances,9837.255794215243,< 580 €,1 <= ... < 4 years,1,male : single,none,4,building society savings agreement/life insurance,38,none,own,1,skilled employee/official,1,yes,no,1
>= 2900 € / Gehalt seit 1 Jahr,36,existing credits paid back duly till now,domestic appliances,29900.349212354857,< 580 €,1 <= ... < 4 years,4,male : single,none,1,car or other,24,none,own,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,24,critical account/other credits existing,car (used),39666.02414320263,>= 5000 €,... >= 7 years,2,female : divorced/separated/married,none,4,unknown/no property,29,none,rent,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,24,delay in paying off in the past,others,35621.70536294054,580 € - 2900 €,4 <= ... < 7 years,4,male : single,none,4,car or other,36,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
< 580 €,12,existing credits paid back duly till now,radio/television,6554.761916935521,< 580 €,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee/official,1,no,yes,0
< 580 €,9,critical account/other credits existing,education,6585.439429807294,580 € - 2900 €,... >= 7 years,3,male : single,guarantor,4,real estate,48,none,own,2,skilled employee/official,2,no,no,1
< 580 €,12,all credits at this bank paid back duly,business,1733.2794772551806,< 580 €,... >= 7 years,4,male : married/widowed,none,1,car or other,45,bank,own,1,unskilled - resident,1,no,yes,1
580 € - 2900 €,24,existing credits paid back duly till now,car (new),17956.570867611194,580 € - 2900 €,4 <= ... < 7 years,2,male : single,none,3,car or other,38,bank,own,2,skilled employee/official,1,yes,yes,1
kein Konto,6,critical account/other credits existing,domestic appliances,9704.319905104227,unbekannt,1 <= ... < 4 years,1,male : single,none,2,real estate,34,none,own,2,unskilled - resident,2,no,yes,1
kein Konto,24,critical account/other credits existing,domestic appliances,14684.302827955396,580 € - 2900 €,... >= 7 years,3,male : single,none,4,real estate,36,none,own,1,skilled employee/official,2,yes,yes,1
kein Konto,18,critical account/other credits existing,car (new),5394.129346620104,< 580 €,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,30,none,own,2,skilled employee/official,1,no,yes,1
kein Konto,15,existing credits paid back duly till now,repairs,6452.503540696278,2800 € - 5000 €,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/life insurance,36,none,own,2,skilled employee/official,1,yes,yes,1
580 € - 2900 €,10,existing credits paid back duly till now,car (new),37365.21067781965,< 580 €,unemployed,2,male : single,none,4,unknown/no property,70,bank,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
kein Konto,36,existing credits paid back duly till now,car (new),4647.643200073626,2800 € - 5000 €,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,36,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,6,existing credits paid back duly till now,radio/television,15226.272222023388,2800 € - 5000 €,1 <= ... < 4 years,1,male : single,none,2,car or other,32,none,own,1,skilled employee/official,1,yes,yes,1
< 580 €,18,existing credits paid back duly till now,radio/television,5782.711176329231,< 580 €,unemployed,4,female : divorced/separated/married,none,2,car or other,33,none,own,1,skilled employee/official,1,no,yes,0
580 € - 2900 €,11,existing credits paid back duly till now,radio/television,8063.072966464366,>= 5000 €,... < 1 year,4,female : divorced/separated/married,none,1,real estate,20,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,24,existing credits paid back duly till now,radio/television,20308.513521113797,< 580 €,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/life insurance,25,none,rent,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,24,critical account/other credits existing,others,9893.497901146828,< 580 €,... >= 7 years,4,male : divorced/separated,none,4,real estate,31,none,own,2,skilled employee/official,1,yes,yes,0
< 580 €,15,no credits taken/all credits paid back duly,car (new),4857.272871364076,< 580 €,... >= 7 years,4,male : single,none,3,car or other,33,none,rent,2,skilled employee/official,2,no,yes,0
kein Konto,12,existing credits paid back duly till now,radio/television,3901.157053527147,< 580 €,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,24,delay in paying off in the past,radio/television,10553.064427889949,< 580 €,unemployed,3,female : divorced/separated/married,none,2,building society savings agreement/life insurance,34,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
580 € - 2900 €,8,existing credits paid back duly till now,domestic appliances,7229.667200114529,< 580 €,1 <= ... < 4 years,4,male : single,guarantor,2,real estate,33,none,own,1,skilled employee/official,1,no,no,1
< 580 €,21,delay in paying off in the past,retraining,17455.5048240389,< 580 €,... < 1 year,2,male : single,none,1,building society savings agreement/life insurance,26,none,own,2,skilled employee/official,1,no,yes,0
kein Konto,30,all credits at this bank paid back duly,car (used),38270.19730753695,unbekannt,unemployed,4,female : divorced/separated/married,none,1,real estate,53,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
< 580 €,12,existing credits paid back duly till now,radio/television,13175.99177842655,< 580 €,1 <= ... < 4 years,2,male : divorced/separated,none,1,car or other,42,none,own,1,skilled employee/official,1,no,yes,1
< 580 €,6,critical account/other credits existing,domestic appliances,1728.1665584432185,2800 € - 5000 €,... >= 7 years,4,male : single,none,4,car or other,52,none,own,2,skilled employee/official,1,no,yes,1
kein Konto,12,existing credits paid back duly till now,domestic appliances,10036.659627881769,< 580 €,4 <= ... < 7 years,4,male : single,none,2,car or other,31,none,rent,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1
< 580 €,21,critical account/other credits existing,car (new),2919.476641630408,< 580 €,... >= 7 years,4,male : single,none,4,real estate,65,none,own,2,skilled employee/official,1,no,yes,1
kein Konto,36,delay in paying off in the past,others,48940.858868102034,< 580 €,... < 1 year,1,male : divorced/separated,none,1,car or other,28,none,own,2,skilled employee/official,1,no,yes,0
580 € - 2900 €,36,delay in paying off in the past,others,22778.053307291535,< 580 €,1 <= ... < 4 years,2,male : divorced/separated,none,2,real estate,30,stores,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0
< 580 €,21,all credits at this bank paid back duly,car (new),8420.97728330172,unbekannt,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/life insurance,40,none,own,2,unskilled - resident,2,no,yes,0
kein Konto,24,critical account/other credits existing,radio/television,19311.49435278117,>= 5000 €,1 <= ... < 4 years,4,male : single,none,4,real estate,50,none,own,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,18,critical account/other credits existing,car (new),4519.820229774572,< 580 €,... >= 7 years,4,male : single,none,4,car or other,36,bank,own,1,skilled employee/official,2,yes,yes,0
kein Konto,15,critical account/other credits existing,domestic appliances,6953.569584268572,< 580 €,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/life insurance,31,none,own,2,skilled employee/official,1,no,yes,1
580 € - 2900 €,9,all credits at this bank paid back duly,car (used),26224.160586554048,< 580 €,... >= 7 years,2,female : divorced/separated/married,none,4,unknown/no property,74,bank,for free,1,management/self-employed/highly qualified employee/officer,2,yes,yes,0
580 € - 2900 €,16,critical account/other credits existing,car (new),6007.679604055567,< 580 €,unemployed,2,male : single,none,3,car or other,68,none,for free,3,unemployed/unskilled - non-resident,1,yes,yes,1
< 580 €,12,existing credits paid back duly till now,domestic appliances,3446.1072792625127,580 € - 2900 €,4 <= ... < 7 years,4,male : married/widowed,none,1,building society savings agreement/life insurance,20,none,own,1,skilled employee/official,1,no,yes,0
580 € - 2900 €,18,no credits taken/all credits paid back duly,radio/television,16586.308626005328,< 580 €,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,car or other,33,bank,own,2,skilled employee/official,1,yes,yes,1
kein Konto,24,existing credits paid back duly till now,others,23473.41026571839,>= 5000 €,1 <= ... < 4 years,2,male : single,none,3,building society savings agreement/life insurance,54,none,own,3,management/self-employed/highly qualified employee/officer,1,yes,yes,0
580 € - 2900 €,48,no credits taken/all credits paid back duly,others,19654.05991318264,580 € - 2900 €,4 <= ... < 7 years,4,male : single,none,4,unknown/no property,34,none,for free,1,unskilled - resident,2,no,yes,0
580 € - 2900 €,27,existing credits paid back duly till now,others,20017.077148831955,< 580 €,1 <= ... < 4 years,4,male : single,none,2,car or other,36,none,own,1,skilled employee/official,2,yes,yes,0
kein Konto,6,existing credits paid back duly till now,domestic appliances,10778.032855616286,< 580 €,4 <= ... < 7 years,2,male : married/widowed,none,2,real estate,29,none,rent,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,45,existing credits paid back duly till now,domestic appliances,15497.256919057383,580 € - 2900 €,1 <= ... < 4 years,4,male : single,guarantor,4,building society savings agreement/life insurance,21,none,rent,1,skilled employee/official,1,no,yes,0
